"2015-12-31","2015","22.423","43.827","49.174","13.767","17.932","24.906","31.036","","4.313","58.442","20.143","49.126","","48.053","39.686","45.050","46.691","","89.848","11.880","","10.985","","31.335","21.578","45.169","19.036","28.175","27.299","24.196"
"2016-12-31","2016","24.849","45.545","48.917","15.063","14.567","20.004","32.723","","4.176","57.994","24.556","52.039","","48.468","43.653","47.524","48.485","","91.320","11.654","","11.799","","33.549","24.709","56.266","19.583","30.552","29.256","24.881"
"2017-12-31","2017","26.053","45.895","49.418","14.183","13.378","18.429","33.153","","3.983","57.354","25.714","54.658","","46.306","45.174","48.171","49.005","","91.331","10.212","","11.725","","34.200","24.016","58.984","18.105","32.177","28.469","22.060"
"2018-12-31","2018","25.604","44.779","47.019","12.417","24.859","19.144","32.455","","3.661","55.816","27.616","50.228","","46.249","43.752","47.987","47.896","","95.440","9.019","","9.885","","31.396","24.072","58.928","18.048","29.517","28.418","21.054"
"2019-12-31","2019","23.635","42.353","43.193","11.231","19.498","18.209","30.706","","3.119","51.222","28.004","48.682","","47.866","42.923","45.443","45.256","","91.510","8.704","","9.593","","28.688","25.281","55.897","18.862","24.805","26.353","20.474"
"2020-12-31","2020","29.907","50.616","50.235","12.411","22.255","25.023","37.061","25.324","6.462","67.038","33.015","57.399","","58.707","52.420","","54.016","","108.559","14.016","","14.702","","33.108","37.090","68.265","23.047","28.717","34.043","26.935"
"2021-12-31","2021","32.216","50.947","50.052","12.823","11.638","28.114","39.682","23.875","6.168","65.699","38.498","58.911","","51.625","51.922","","54.492","","103.645","15.317","","16.642","","32.894","35.477","67.667","24.681","29.303","34.963","30.295"
"2022-12-31","2022","30.043","48.781","47.047","11.742","6.712","29.843","38.245","19.970","6.207","63.857","37.746","57.328","","46.480","48.762","","52.415","","101.752","14.818","","16.099","","29.108","31.376","61.339","24.217","28.163","33.766","29.977"
"2023-12-31","2023","27.940","46.070","46.644","11.372","3.803","31.125","34.210","19.161","4.946","60.270","35.780","53.124","","43.111","46.666","","49.105","","97.478","13.677","","14.820","","27.604","32.860","56.059","24.253","25.821","30.787","26.714"
"2024-12-31","2024","27.483","44.091","40.794","11.444","2.719","32.485","32.281","17.765","5.096","55.985","36.056","53.117","","40.059","46.740","","46.711","","93.239","12.017","","13.943","","24.561","35.581","51.788","27.607","26.673","30.395","25.199"
